Protein ID,Log2 fold change
H26_vs_DksgA_PEP,0.76913114
H26_vs_DksgA_PEP,0.71011596
H26_vs_DksgA_PEP,0.81134904
H26_vs_DksgA_PEP,0.84087924
H26_vs_DksgA_PEP,0.72016598
H26_vs_DksgA_PEP,0.54226203
H26_vs_DksgA_PEP,0.79430257
H26_vs_DksgA_PEP,0.69816739
H26_vs_DksgA_PEP,0.77418405
H26_vs_DksgA_PEP,0.57387721
H26_vs_DksgA_PEP,0.6279128
H26_vs_DksgA_PEP,0.33941245
H26_vs_DksgA_PEP,0.72123996
H26_vs_DksgA_PEP,0.84557214
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.03638119
H26_vs_DksgA_PEP,0.01149041
H26_vs_DksgA_PEP,0.88426022
H26_vs_DksgA_PEP,0.89029994
H26_vs_DksgA_PEP,0.91133478
H26_vs_DksgA_PEP,0.67836383
H26_vs_DksgA_PEP,0.51871496
H26_vs_DksgA_PEP,0.73027225
H26_vs_DksgA_PEP,0.69816739
H26_vs_DksgA_PEP,0.64036724
H26_vs_DksgA_PEP,0.60004343
H26_vs_DksgA_PEP,0.73053532
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.66470974
H26_vs_DksgA_PEP,0.77704622
H26_vs_DksgA_PEP,0.5261535
H26_vs_DksgA_PEP,0.78529142
H26_vs_DksgA_PEP,0.70681095
H26_vs_DksgA_PEP,0.70598116
H26_vs_DksgA_PEP,0.83279933
H26_vs_DksgA_PEP,0.56704514
H26_vs_DksgA_PEP,0.53311286
H26_vs_DksgA_PEP,0.01149041
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.70181081
H26_vs_DksgA_PEP,0.77514013
H26_vs_DksgA_PEP,0.7805985
H26_vs_DksgA_PEP,0.72736879
H26_vs_DksgA_PEP,0.56921177
H26_vs_DksgA_PEP,0.65804653
H26_vs_DksgA_PEP,0.66890473
H26_vs_DksgA_PEP,0.60140411
H26_vs_DksgA_PEP,0.02763464
H26_vs_DksgA_PEP,0.90805216
H26_vs_DksgA_PEP,0.02923186
H26_vs_DksgA_PEP,0.84313027
H26_vs_DksgA_PEP,0.77633238
H26_vs_DksgA_PEP,0.2778346
H26_vs_DksgA_PEP,0.63624878
H26_vs_DksgA_PEP,0.81046831
H26_vs_DksgA_PEP,0.71584581
H26_vs_DksgA_PEP,0.62499605
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.76132165
H26_vs_DksgA_PEP,0.68302706
H26_vs_DksgA_PEP,0.75761447
H26_vs_DksgA_PEP,0.00165119
H26_vs_DksgA_PEP,0.72974567
H26_vs_DksgA_PEP,0.15658323
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.71638796
H26_vs_DksgA_PEP,0.88278203
H26_vs_DksgA_PEP,0.70956669
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.72736879
H26_vs_DksgA_PEP,0.68099227
H26_vs_DksgA_PEP,0.72338069
H26_vs_DksgA_PEP,0.44315819
H26_vs_DksgA_PEP,0.48045108
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.41104126
H26_vs_DksgA_PEP,0.6936456
H26_vs_DksgA_PEP,0.60343869
H26_vs_DksgA_PEP,0.7114864
H26_vs_DksgA_PEP,0.40631602
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.01636679
H26_vs_DksgA_PEP,0.68965459
H26_vs_DksgA_PEP,0.76377653
H26_vs_DksgA_PEP,0.64382669
H26_vs_DksgA_PEP,0.7553757
H26_vs_DksgA_PEP,0.67836383
H26_vs_DksgA_PEP,0.83737634
H26_vs_DksgA_PEP,0.67217646
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.74935194
H26_vs_DksgA_PEP,0.66920304
H26_vs_DksgA_PEP,0.65222088
H26_vs_DksgA_PEP,0.70708723
H26_vs_DksgA_PEP,0.74935194
H26_vs_DksgA_PEP,0.38509857
H26_vs_DksgA_PEP,0.81854728
H26_vs_DksgA_PEP,0.63113472
H26_vs_DksgA_PEP,0.58449494
H26_vs_DksgA_PEP,0.70041271
H26_vs_DksgA_PEP,0.8273253
H26_vs_DksgA_PEP,0.24847416
H26_vs_DksgA_PEP,0.79544467
H26_vs_DksgA_PEP,0.80380518
H26_vs_DksgA_PEP,0.66621196
H26_vs_DksgA_PEP,0.61216689
H26_vs_DksgA_PEP,0.68244654
H26_vs_DksgA_PEP,0.71720005
H26_vs_DksgA_PEP,0.74119657
H26_vs_DksgA_PEP,0.7518714
H26_vs_DksgA_PEP,0.80603759
H26_vs_DksgA_PEP,0.70846627
H26_vs_DksgA_PEP,0.68620783
H26_vs_DksgA_PEP,0.66770972
H26_vs_DksgA_PEP,0.76156774
H26_vs_DksgA_PEP,0.7029264
H26_vs_DksgA_PEP,0.70069265
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.37322379
H26_vs_DksgA_PEP,0.79384489
H26_vs_DksgA_PEP,0.71530304
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.63688452
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.68563102
H26_vs_DksgA_PEP,0.66920304
H26_vs_DksgA_PEP,0.01717674
H26_vs_DksgA_PEP,0.71665881
H26_vs_DksgA_PEP,0.6568256
H26_vs_DksgA_PEP,0.63593061
H26_vs_DksgA_PEP,0.72123996
H26_vs_DksgA_PEP,0.46382265
H26_vs_DksgA_PEP,0.80425257
H26_vs_DksgA_PEP,0.64068269
H26_vs_DksgA_PEP,0.62726603
H26_vs_DksgA_PEP,0.80066048
H26_vs_DksgA_PEP,0.50030096
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.6890818
H26_vs_DksgA_PEP,0.67630987
H26_vs_DksgA_PEP,0.61083334
H26_vs_DksgA_PEP,0.71638796
H26_vs_DksgA_PEP,0.78808364
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.0065853
H26_vs_DksgA_PEP,0.47623102
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.68534237
H26_vs_DksgA_PEP,0.66890473
H26_vs_DksgA_PEP,0.67719117
H26_vs_DksgA_PEP,0.70376142
H26_vs_DksgA_PEP,0.86305089
H26_vs_DksgA_PEP,0.65345287
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.67601575
H26_vs_DksgA_PEP,0.66711115
H26_vs_DksgA_PEP,0.54527928
H26_vs_DksgA_PEP,0.08919687
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.61944209
H26_vs_DksgA_PEP,0.751117
H26_vs_DksgA_PEP,0.59146051
H26_vs_DksgA_PEP,0.66651187
H26_vs_DksgA_PEP,0.67306507
H26_vs_DksgA_PEP,0.02763464
H26_vs_DksgA_PEP,0.07650272
H26_vs_DksgA_PEP,0.68678396
H26_vs_DksgA_PEP,0.31859526
H26_vs_DksgA_PEP,0.64632817
H26_vs_DksgA_PEP,0.73680536
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.75237364
H26_vs_DksgA_PEP,0.58798887
H26_vs_DksgA_PEP,0.57387721
H26_vs_DksgA_PEP,0.3831345
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.6007242
H26_vs_DksgA_PEP,0.69844862
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.37670978
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.68099227
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.57172882
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.64351315
H26_vs_DksgA_PEP,0.77965397
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.7993058
H26_vs_DksgA_PEP,0.66800874
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.03875052
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.73106102
H26_vs_DksgA_PEP,0.70376142
H26_vs_DksgA_PEP,0.69222395
H26_vs_DksgA_PEP,0.66470974
H26_vs_DksgA_PEP,0.45027154
H26_vs_DksgA_PEP,0.82177973
H26_vs_DksgA_PEP,0.48630952
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.77918096
H26_vs_DksgA_PEP,0.2656516
H26_vs_DksgA_PEP,0.78459062
H26_vs_DksgA_PEP,0.54074735
H26_vs_DksgA_PEP,0.70846627
H26_vs_DksgA_PEP,0.75686943
H26_vs_DksgA_PEP,0.51476115
H26_vs_DksgA_PEP,0.49826407
H26_vs_DksgA_PEP,0.69477996
H26_vs_DksgA_PEP,0.025233
H26_vs_DksgA_PEP,0.72497995
H26_vs_DksgA_PEP,0.79453122
H26_vs_DksgA_PEP,0.50797731
H26_vs_DksgA_PEP,0.05900148
H26_vs_DksgA_PEP,0.01960186
H26_vs_DksgA_PEP,0.63941972
H26_vs_DksgA_PEP,0.7032049
H26_vs_DksgA_PEP,0.66561161
H26_vs_DksgA_PEP,0.63561226
H26_vs_DksgA_PEP,0.49334662
H26_vs_DksgA_PEP,0.55275263
H26_vs_DksgA_PEP,0.81703041
H26_vs_DksgA_PEP,0.68994074
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.64036724
H26_vs_DksgA_PEP,0.80156128
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.6668116
H26_vs_DksgA_PEP,0.90787861
H26_vs_DksgA_PEP,0.29879546
H26_vs_DksgA_PEP,0.25444448
H26_vs_DksgA_PEP,0.59594065
H26_vs_DksgA_PEP,0.1031481
H26_vs_DksgA_PEP,0.62984833
H26_vs_DksgA_PEP,0.6007242
H26_vs_DksgA_PEP,0.51910886
H26_vs_DksgA_PEP,0.66621196
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.71530304
H26_vs_DksgA_PEP,0.35242425
H26_vs_DksgA_PEP,0.83882227
H26_vs_DksgA_PEP,0.09803681
H26_vs_DksgA_PEP,0.72364761
H26_vs_DksgA_PEP,0.49622011
H26_vs_DksgA_PEP,0.73680536
H26_vs_DksgA_PEP,0.09436549
H26_vs_DksgA_PEP,0.88426022
H26_vs_DksgA_PEP,0.33201348
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.00329913
H26_vs_DksgA_PEP,0.61083334
H26_vs_DksgA_PEP,0.85539626
H26_vs_DksgA_PEP,0.72471378
H26_vs_DksgA_PEP,0.66501054
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.47368466
H26_vs_DksgA_PEP,0.30046747
H26_vs_DksgA_PEP,0.74985693
H26_vs_DksgA_PEP,0.85360929
H26_vs_DksgA_PEP,0.66770972
H26_vs_DksgA_PEP,0.00494383
H26_vs_DksgA_PEP,0.86168751
H26_vs_DksgA_PEP,0.7029264
H26_vs_DksgA_PEP,0.70459501
H26_vs_DksgA_PEP,0.63337829
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.000826
H26_vs_DksgA_PEP,0.15590372
H26_vs_DksgA_PEP,0.71989711
H26_vs_DksgA_PEP,0.7429928
H26_vs_DksgA_PEP,0.63273826
H26_vs_DksgA_PEP,0.78012648
H26_vs_DksgA_PEP,0.55792547
H26_vs_DksgA_PEP,0.65651991
H26_vs_DksgA_PEP,0.15181385
H26_vs_DksgA_PEP,0.00576497
H26_vs_DksgA_PEP,0.08697138
H26_vs_DksgA_PEP,0.74248029
H26_vs_DksgA_PEP,0.68936828
H26_vs_DksgA_PEP,0.59353287
H26_vs_DksgA_PEP,0.69022672
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.51910886
H26_vs_DksgA_PEP,0.71774068
H26_vs_DksgA_PEP,0.74196723
H26_vs_DksgA_PEP,0.04032628
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.73053532
H26_vs_DksgA_PEP,0.52809514
H26_vs_DksgA_PEP,0.74808706
H26_vs_DksgA_PEP,0.63720209
H26_vs_DksgA_PEP,0.9569535
H26_vs_DksgA_PEP,0.2001263
H26_vs_DksgA_PEP,0.66320305
H26_vs_DksgA_PEP,0.11327199
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.88665055
H26_vs_DksgA_PEP,0.15929521
H26_vs_DksgA_PEP,0.6168081
H26_vs_DksgA_PEP,0.01311905
H26_vs_DksgA_PEP,0.68678396
H26_vs_DksgA_PEP,0.68331707
H26_vs_DksgA_PEP,0.60106427
H26_vs_DksgA_PEP,0.87775216
H26_vs_DksgA_PEP,0.80980658
H26_vs_DksgA_PEP,0.70431731
H26_vs_DksgA_PEP,0.62402018
H26_vs_DksgA_PEP,0.60882675
H26_vs_DksgA_PEP,0.60512829
H26_vs_DksgA_PEP,0.76426592
H26_vs_DksgA_PEP,0.63751948
H26_vs_DksgA_PEP,0.50837855
H26_vs_DksgA_PEP,0.79635623
H26_vs_DksgA_PEP,0.80268467
H26_vs_DksgA_PEP,0.76082909
H26_vs_DksgA_PEP,0.70431731
H26_vs_DksgA_PEP,0.37918837
H26_vs_DksgA_PEP,0.78107001
H26_vs_DksgA_PEP,0.49375798
H26_vs_DksgA_PEP,0.7620595
H26_vs_DksgA_PEP,0.94125414
H26_vs_DksgA_PEP,0.69449662
H26_vs_DksgA_PEP,0.90087168
H26_vs_DksgA_PEP,0.84799973
H26_vs_DksgA_PEP,0.81310514
H26_vs_DksgA_PEP,0.70013261
H26_vs_DksgA_PEP,0.70487256
H26_vs_DksgA_PEP,0.59146051
H26_vs_DksgA_PEP,0.71638796
H26_vs_DksgA_PEP,0.67953374
H26_vs_DksgA_PEP,0.73420298
H26_vs_DksgA_PEP,0.71039036
H26_vs_DksgA_PEP,0.87341686
H26_vs_DksgA_PEP,0.08399435
H26_vs_DksgA_PEP,0.83133251
H26_vs_DksgA_PEP,0.80020938
H26_vs_DksgA_PEP,0.38998275
H26_vs_DksgA_PEP,0.87624955
H26_vs_DksgA_PEP,0.94833276
H26_vs_DksgA_PEP,0.51356973
H26_vs_DksgA_PEP,0.72816241
H26_vs_DksgA_PEP,0.70236892
H26_vs_DksgA_PEP,0.82177973
H26_vs_DksgA_PEP,0.39095516
H26_vs_DksgA_PEP,0.51555407
H26_vs_DksgA_PEP,0.75412722
H26_vs_DksgA_PEP,0.62855877
H26_vs_DksgA_PEP,0.85021259
H26_vs_DksgA_PEP,0.82413475
H26_vs_DksgA_PEP,0.70846627
H26_vs_DksgA_PEP,0.79521649
H26_vs_DksgA_PEP,0.85875054
H26_vs_DksgA_PEP,0.72657385
H26_vs_DksgA_PEP,0.61216689
H26_vs_DksgA_PEP,0.12042392
H26_vs_DksgA_PEP,0.20777648
H26_vs_DksgA_PEP,0.55349454
H26_vs_DksgA_PEP,0.49457983
H26_vs_DksgA_PEP,0.78947319
H26_vs_DksgA_PEP,0.60882675
H26_vs_DksgA_PEP,0.19045072
H26_vs_DksgA_PEP,0.68678396
H26_vs_DksgA_PEP,0.71962809
H26_vs_DksgA_PEP,0.70625791
H26_vs_DksgA_PEP,0.85061366
H26_vs_DksgA_PEP,0.69136899
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.64539154
H26_vs_DksgA_PEP,0.65098592
H26_vs_DksgA_PEP,0.79338674
H26_vs_DksgA_PEP,0.82456155
H26_vs_DksgA_PEP,0.63497496
H26_vs_DksgA_PEP,0.31751022
H26_vs_DksgA_PEP,0.81789785
H26_vs_DksgA_PEP,0.83758321
H26_vs_DksgA_PEP,0.67719117
H26_vs_DksgA_PEP,0.41009903
H26_vs_DksgA_PEP,0.63720209
H26_vs_DksgA_PEP,0.66830758
H26_vs_DksgA_PEP,0.60748482
H26_vs_DksgA_PEP,0.81419909
H26_vs_DksgA_PEP,0.22964327
H26_vs_DksgA_PEP,0.75984238
H26_vs_DksgA_PEP,0.3498422
H26_vs_DksgA_PEP,0.62564562
H26_vs_DksgA_PEP,0.70097243
H26_vs_DksgA_PEP,0.87624955
H26_vs_DksgA_PEP,0.77537883
H26_vs_DksgA_PEP,0.75835831
H26_vs_DksgA_PEP,0.35909077
H26_vs_DksgA_PEP,0.81681328
H26_vs_DksgA_PEP,0.70236892
H26_vs_DksgA_PEP,0.00165119
H26_vs_DksgA_PEP,0.66047965
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.76888911
H26_vs_DksgA_PEP,0.78505794
H26_vs_DksgA_PEP,0.94252261
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.19174812
H26_vs_DksgA_PEP,0.81594365
H26_vs_DksgA_PEP,0.1260985
H26_vs_DksgA_PEP,0.82070496
H26_vs_DksgA_PEP,0.89517342
H26_vs_DksgA_PEP,0.91356467
H26_vs_DksgA_PEP,0.7805985
H26_vs_DksgA_PEP,0.78575801
H26_vs_DksgA_PEP,0.90753127
H26_vs_DksgA_PEP,0.54940189
H26_vs_DksgA_PEP,0.78248159
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.67513237
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.90561529
H26_vs_DksgA_PEP,0.6546819
H26_vs_DksgA_PEP,0.05049523
H26_vs_DksgA_PEP,0.53272844
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.57850348
H26_vs_DksgA_PEP,0.10460239
H26_vs_DksgA_PEP,0.74985693
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.68011767
H26_vs_DksgA_PEP,0.52576438
H26_vs_DksgA_PEP,0.31696705
H26_vs_DksgA_PEP,0.8857329
H26_vs_DksgA_PEP,0.8044761
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.7450372
H26_vs_DksgA_PEP,0.83716938
H26_vs_DksgA_PEP,0.65283725
H26_vs_DksgA_PEP,0.70514995
H26_vs_DksgA_PEP,0.64695165
H26_vs_DksgA_PEP,0.70348324
H26_vs_DksgA_PEP,0.51753164
H26_vs_DksgA_PEP,0.64319942
H26_vs_DksgA_PEP,0.83985202
H26_vs_DksgA_PEP,0.7098414
H26_vs_DksgA_PEP,0.77752149
H26_vs_DksgA_PEP,0.47112746
